iter	Passed	Remaining
0	1	155
1	2	121
2	3	111
3	4	106
4	5	104
5	7	113
6	9	120
7	10	120
8	11	119
9	13	118
10	13	113
11	15	111
12	16	109
13	17	106
14	18	103
15	19	101
16	20	99
17	21	97
18	22	97
19	23	94
20	24	92
21	25	91
22	27	91
23	28	91
24	30	90
25	31	89
26	32	87
27	33	86
28	34	84
29	35	83
30	37	82
31	38	81
32	39	79
33	40	78
34	42	78
35	42	76
36	43	74
37	44	72
38	45	71
39	46	69
40	47	68
41	47	66
42	48	64
43	49	63
44	50	62
45	51	60
46	53	59
47	54	58
48	55	57
49	56	56
50	56	54
51	57	53
52	58	52
53	59	50
54	60	49
55	61	48
56	62	46
57	62	45
58	63	44
59	64	43
60	66	42
61	67	41
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	33
68	73	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	81	22
78	82	21
79	83	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	97	3
97	98	2
98	99	1
99	100	0
